Date,Open,High,Low,Close,Volume
5/9/2000,88.5,89.125,84.3125,86,19825800
5/10/2000,84.375,84.984375,79.5,79.75,34847500
5/11/2000,82.75,85.25,80.875,84.625,24709700
5/12/2000,85.375,87.5625,84,84.625,17832000
5/15/2000,84.8125,88.625,82.625,88.3125,17950800
5/16/2000,90,91.5,88.0625,90.8125,23758800
5/17/2000,89.25,90.5,87.75,88.9375,20339400
5/18/2000,89,89.359375,85.375,85.75,19063000
5/19/2000,83.75,85,81.3125,81.6875,28178100
5/22/2000,81.625,82.25,75.578125,81.625,43879800
5/23/2000,81.375,82.625,74.25,74.8125,31898500
5/24/2000,75,79.875,72.25,79.5,49476000
5/25/2000,80.25,82.25,76.5,77.75,29632700
5/26/2000,77.75,79.25,75.75,77.75,18203200
5/30/2000,80,85.9375,80,85.5625,31590400
5/31/2000,84.46875,86.671875,82.75,83.125,29675400
6/1/2000,85.1875,88.375,84,87.375,28993500
6/2/2000,92.625,93.9375,82.5,93.625,31677200
6/5/2000,92.25,95.3125,91.875,93.859375,23784300
6/6/2000,93.1875,95,90.875,91.25,23200500
6/7/2000,91.5625,94,89.5625,93.6875,22524400
6/8/2000,94.625,94.875,91.625,93.25,19313800
6/9/2000,94.75,94.75,93,93.75,17014600
6/12/2000,94.3125,94.3125,90,90.75,16484700
6/13/2000,90.5,94.625,89.359375,94.25,25187900
6/14/2000,94.875,94.875,91.5,92.125,20274500
6/15/2000,91.875,93.875,90.875,93.75,18807800
6/16/2000,94.75,95.3125,93.0625,94.25,21203400
6/19/2000,94.015625,98.25,92.6875,98,20042500
6/20/2000,98.25,99.6875,97.1875,97.625,20988300
6/21/2000,96.8125,99.71875,96.6875,98.875,20880600
6/22/2000,98.625,99,94.5,95.25,21526700
6/23/2000,95,95.5,91.375,91.5,24888100
6/26/2000,93.0625,94.421875,92,94,22169200
6/27/2000,93.765625,95.0625,92.375,92.875,14786000
6/28/2000,92.984375,95.5,92.5,94,19259800
6/29/2000,92.9375,93.375,90.625,91.640625,21355800
6/30/2000,91.8125,93.953125,91.3125,93.4375,15153100
7/3/2000,93.5,95.25,93.25,95.25,5212000
7/5/2000,93.625,93.96875,90.875,91.5625,16489000
7/6/2000,91.5625,94.75,90.0625,94,23594700
7/7/2000,95,97,94.4375,95.9375,16603200
7/10/2000,94.6875,95.875,94,94.484375,12659400
7/11/2000,94.0625,95.75,92.8125,95,14374600
7/12/2000,95.4375,97.75,94.625,97.25,18252600
7/13/2000,97.9375,99.75,97.125,98.5,19566700
7/14/2000,100.25,101.125,98.8125,100.625,17219400
7/17/2000,100.9375,102.0625,99.875,101.75,13140500
7/18/2000,100.375,100.78125,98.359375,99.5,20684000
7/19/2000,98.3125,98.9375,95.65625,97.25,21828500
7/20/2000,97.875,100.5,97.265625,100.375,19521200
7/21/2000,98.4375,99.515625,97,97,14411400
7/24/2000,97.9375,99,94.25,95,18579200
7/25/2000,95.625,97,93.8125,95.75,19065700
7/26/2000,95.5,96.125,93.25,95.625,20318700
7/27/2000,93.9375,95.0625,91.5625,91.875,26141800
7/28/2000,92.1875,92.875,86,86.875,36485600
7/31/2000,87.625,90.125,85.71875,89.4375,27609900
8/1/2000,89.8125,89.984375,87.6875,88.25,15751800
8/2/2000,87.875,90.390625,86.5,86.6875,23578200
8/3/2000,84.25,91.25,83.3125,90.4375,35874700
8/4/2000,92,92.765625,89.125,90.125,22283400
8/7/2000,90.875,93.03125,90.25,92.25,15103300
8/8/2000,92.0625,94.25,91.5,94.125,14832300
8/9/2000,93.6875,94.4375,91.375,91.625,18649800
8/10/2000,91.8125,92.234375,89.5,89.8125,15336200
8/11/2000,89.25,91.109375,87.875,91.0625,21050600
8/14/2000,91.375,93,90.203125,93,12539300
8/15/2000,92.75,93.984375,92,93,14090300
8/16/2000,93.4375,94.6875,92,93.9375,15245300
8/17/2000,92.9375,95.875,92.875,95.75,14492400
8/18/2000,95.9375,96.625,94.6875,95.25,14706700
8/21/2000,96,96.859375,94.375,95.5,13560100
8/22/2000,96,97.359375,95.265625,95.5,14878200
8/23/2000,94.6875,97.4375,93.828125,97.0625,21396400
8/24/2000,97.4375,98.6875,96.0625,98.5625,13567700
8/25/2000,98.484375,99.953125,97,98.03125,11764700
8/28/2000,98.25,99.84375,97.9375,98.5,12314200
8/29/2000,98.625,99.171875,97.859375,99,11162800
8/30/2000,98.3125,99.5,97.765625,98.875,10545300
